"※リンクには画像ファイルの名前を書いてください（画像ファイルの拡張子はjpg,pngのみ、ファイル名は大文字を除く半角英数字、拡張子は書かないでください）",,,,,,,
番号,名前,読み,所属,リンク1,リンク2,説明,タグ
1,我が家,つぼくら、すぎやま、やたべ,坪倉、杉山、谷田部,wagaya1,wagaya2,,人物、芸人
2,三四郎,こみや ひろのぶ、あいだ しゅうじ,小宮 浩信、相田周二,sanshiro1,sanshiro2,,人物、芸人
3,ANZEN漫才,みやぞの だいこう、あらき ゆう,みやぞん（宮園 大耕）、あらぽん（荒木 祐）,anzen1,anzen2,,人物、芸人
4,フットボールアワー,いわお のぞむ、ごとう てるもと,岩尾 望、後藤 輝基,football1,football2,,人物、芸人
5,キンタロー。（田中 志保）,たなか しほ,,kintaro1,kintaro2,,人物、芸人
6,安田大サーカス,ひろせ、やすだ、くろかわ,HIRO（廣瀬）、団長安田（安田）、クロちゃん（黒川）,yasuda1,yasuda2,,人物、芸人
7,HIRO（廣瀬 康幸）,ひろせ やすゆき,安田大サーカス,hiro1,hiro2,,人物、芸人
8,ますだおかだ,おかだ けいすけ、ますだ ひでひこ,岡田圭右、増田英彦,masudaokada1,masudaokada2,,人物、芸人
9,岡田圭右,おかだ けいすけ,ますだおかだ,okada1,okada2,,人物、芸人
10,和牛,みずた しんじ、かわにし けんしろう,水田 信二、川西 賢志郎,wagyuu1,wagyuu2,,人物、芸人
11,四千頭身,つづき ひろき、ごとう たくみ、いしばし りょうだい,都築 拓紀、後藤 拓実、石橋 遼大,yonsen1,yonsen2,,人物、芸人
12,笑い飯,にしだ こうじ、なかにし てつお,西田幸治、哲夫（中西 哲夫）,warai1,warai2,,人物、芸人
13,アインシュタイン,いなだ なおき、かわい ゆずる,稲田 直樹、河井 ゆずる,ein1,ein2,,人物、芸人
14,千鳥,やまもと だいご、はやかわ のぶゆき,大悟（山本 大悟）、ノブ（早川 信行）,chidori1,chidori2,,人物、芸人
15,ミキ,あせい、こうせい,亜生（三木 亜生）、昴生（三木 昴生）,miki1,miki2,,人物、芸人
16,霜降り明星,いしかわ せいや、ささき なおと,せいや（石川 晟也）、粗品（佐々木 直人）,shimohuri1,shimohuri2,,人物、芸人
17,トレンディエンジェル,すどう たかし、さいとう つかさ,たかし（須藤 敬志）、斎藤さん（斎藤 司）,trendy1,trendy2,,人物、芸人
18,劇団ひとり,,,gekidan1,gekidan2,,人物、芸人
19,カンニング竹山,,,cunning1,cunning2,,人物、芸人
20,桂ざこば（2代目）,,落語家,katsura_zakoba1,katsura_zakoba2,,人物
21,桂南光 (3代目),かつら なんこう,落語家,katsura_nankou1,katsura_nankou2,,人物
22,笑福亭 仁鶴（3代目）,しょうふくてい にかく,落語家,syo_nikaku1,syo_nikaku2,,人物
23,田嶋 陽子,たじま ようこ,女性学研究家、英文学者、タレント,tajima_youko1,tajima_youko2,,人物、ニッチ
24,辛坊治郎,しんぼう じろう,ニュースキャスター、シンクタンク経営者,sinbou1,sinbou2,,人物
25,竹田 恒泰,たけだ つねやす,政治評論家、作家、旧皇族出身,takeda_tsuneyasu1,takeda_tsuneyasu2,,人物、ニッチ
